Qui est l'ancêtre du Père Noël ?,Saint Juste,Le Père Fouras,Saint Nicolas,Le Père Fouettard,C
Selon une légende que laissent apparaître les rochers lorsqu'ils se soulèvent au moment des 12 coups de minuit ?,une montre,un trésor,le Père Noël,X,B
Au Moyen Âge quel feuillage orne de préférence les maisons durant la période de Noël ?,du houx,du laurier,de l'olivier,X,A
Quand les guirlandes électriques font-elles leur apparition ?,en 1680,en 1780,en 1880,en 1990,C
Selon la légende quel est l'un des rôles des lutins du Père Noël durant le mois de décembre ?,observer le comportement des enfants,vendre du chocolat chaud,faire tomber la neige,couper des sapins de Noël,A
Quelle est la date d'Halloween ?,le 30 octobre,le 1er novembre,le 31 octobre,le 27 février,C
Halloween est une fête originaire des Etats-Unis.,Vrai,Faux,X,X,B
Que réclament les enfants à Halloween ?,des jouets,des sorts,des chewing-gums,des bonbons,D
Avant que la citrouille ne devienne la star d'Halloween un autre légume était utilisé par les Irlandais pour fabriquer des lanternes. Lequel ?,la pomme de terre,le navet,la courge,la betterave,B
Quelle saison vient après l'hiver ?,été,automne,printemps,X,C
Quelle saison vient après l'été ?,automne,printemps,hiver,X,A
Quelle saison vient après l'automne ?,été,hiver,printemps,X,B
Quelle saison vient après le printemps ?,hiver,automne,été,X,C
12h se lit :,dix heures,onze heure,douze heure,neuf heures,C