Lequel de ces mots n'est pas un continent ?,Europe,Océanie,Afrique,Australie,D
La terre est constituée d'une croûte terrestre et d'un noyau externe ?,Vrai,Faux,X,X,A
Le cœur de la terre est situé entre :,5100 à 6370km,200 à 300m,500 à 7670km,X,A
Quel est le nom du plus grand fleuve d'Europe?,Le Danube,La Volga,Le Rhin,La Tamise,B
Quelle est la capitale de l'Argentine?,Buenos Aires,Santiago,Brasília,Lima,A
Quel pays est situé au nord des États-Unis?,Canada,Mexique,Brésil,Australie,A
Quel est le plus haut sommet d'Afrique?,Mont Kilimandjaro,Mont Kenya,Mont Ruwenzori,Mont Elgon,A
Quel est le plus grand lac d'Afrique?,Lac Victoria,Lac Tanganyika,Lac Malawi,Lac Tchad,A
Dans quel continent se trouve la Russie?,Europe,Asie,Amérique,Afrique,B
Quelle est la langue parlée en Australie?,Anglais,Espagnol,Français,Allemand,A
Quel est le pays le plus peuplé d'Europe?,Allemagne,Russie,France,Royaume-Uni,B
Quel est le nom du plus grand archipel du monde?,Indonésie,Philippines,Japon,Maldives,A
Quelle est la capitale du Canada?,Ottawa,Toronto,Vancouver,Montreal,A
Quel est le plus long fleuve d'Amérique du Sud?,L'Amazone,Le Paraná,Le Rio Negro,L'Orénoque,A
Dans quel pays se trouve la ville de Marrakech?,Maroc,Égypte,Algérie,Tunisie,A
Quel est le plus haut sommet d'Amérique du Sud?,Mont Aconcagua,Mont Chimborazo,Mont Ojos del Salado,Mont Illimani,A
Quelle est la monnaie utilisée en Inde?,Roupie,Yen,Baht,Franc CFA,A
Quel est le pays le plus grand en superficie en Amérique du Sud?,Brésil,Argentine,Chili,Pérou,A